path,sizeBytes,sha256,extension,mime,lineCount,category,packageAction,reason
plugins/kh-aw/skills/kh-aw/SKILL.md,1425,12d09d0acfb4a925cb5e13dd567f577f6b856b217fa077cddef4a56bfa4df9ff,.md,text/markdown,32,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/TERMS.md,831,edfa16eca85d243dfd295d83ac15d72f0240b352ff2adc1f17178b3262827ae5,.md,text/markdown,7,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/tests/test_kh_aw.py,49949,506057ce19998a8885151dc6e2a7fceab07b263a1d218175c5799e66ab36557f,.py,text/x-python,902,project-file,review,Accounted for in the complete inventory.
PUBLIC_PLUGIN_DIRECTORY.md,1559,4bfd4ec09ce6e2d2be1979eacc2451fbe7876c8fa95304d0e532fca45e252ad5,.md,text/markdown,25,project-file,review,Accounted for in the complete inventory.
README.md,1930,bcf221f9e082ceabcea9f860e7deedd30fe0379d697ddb8002b23d3a0ce172e5,.md,text/markdown,49,project-file,review,Accounted for in the complete inventory.
RELEASE_MANIFEST.json,22081,74b5f021eec35ed7079bcfefd017eabeb18ce55373e138eada7116dc3af8ac45,.json,application/json,649,project-file,review,Accounted for in the complete inventory.
RELEASE_NOTES.md,1272,0be48913eb46917bbef6ea3efff3ede70ef229d08bf3a43c217ae088ee91037c,.md,text/markdown,31,project-file,review,Accounted for in the complete inventory.
reproduction/CACHE_SHADOWING_REPORT.md,1133,4143f6f195105e84226f9ca9beaae16dfc14ae13c319b422006df2aed3750ce7,.md,text/markdown,27,project-file,review,Accounted for in the complete inventory.
reproduction/DOCTOR_RUNS.jsonl,1888,0ddf253940082762dbe373c18709ee0af0d535703166c245b1dd1dbaa1e5e041,.jsonl,application/octet-stream,7,project-file,review,Accounted for in the complete inventory.
reproduction/INSTALLATION_SNAPSHOTS.jsonl,761,fa56df7cca6b1b6ac1293d226ef5f5ebe2932746313556dc6ac511c3b37b5914,.jsonl,application/octet-stream,3,project-file,review,Accounted for in the complete inventory.
reproduction/MANUAL_BYPASS_REPRODUCTION.md,1429,93a64b3dd77b83695a4daae1b7ce366671e28ec82dd9a7fa8a7574d7647ecfe2,.md,text/markdown,34,project-file,review,Accounted for in the complete inventory.
reproduction/REPRODUCTION_MATRIX.md,1641,dcd33d70e33d40039fde6a7bb6c4dad5da1ca93b4bdd8781fc76a49fce017743,.md,text/markdown,21,project-file,review,Accounted for in the complete inventory.
